watermark_type,mutator,fraction_index,ideal_step,count_at_fraction,mean_score,t_lower,t_upper,b_lower,b_upper
Adaptive,Document1StepMutator,0,0,90,99.26963190237682,99.18513301710753,99.3541307876461,99.18704390525818,99.35072898864746
Adaptive,Document1StepMutator,1,10,90,78.82928748925526,77.15277901678544,80.50579596172508,77.1897777583864,80.42569716771443
Adaptive,Document1StepMutator,2,20,90,76.19702332549625,74.60165879659539,77.7923878543971,74.64516368177202,77.73172497749329
Adaptive,Document1StepMutator,3,30,90,74.59226330121358,72.93384729179955,76.2506793106276,73.00167626804776,76.17244296603732
Adaptive,Document1StepMutator,4,40,90,73.54440066549513,71.8952108621042,75.19359046888607,71.94353090392218,75.13824085394542
Adaptive,Document1StepMutator,5,50,90,72.42703987492456,70.85501444483447,73.99906530501465,70.90525779459212,73.91413688659668
Adaptive,Document1StepMutator,6,60,90,0.0,0.0,0.0,0.0,0.0
Adaptive,Document1StepMutator,7,70,90,0.0,0.0,0.0,0.0,0.0
Adaptive,Document1StepMutator,8,80,90,0.0,0.0,0.0,0.0,0.0
Adaptive,Document1StepMutator,9,90,90,0.0,0.0,0.0,0.0,0.0
Adaptive,Document1StepMutator,10,100,90,68.46543530623119,67.07700108944036,69.85386952302201,67.09482093652089,69.80581959088643
Adaptive,SentenceMutator,0,0,78,99.26281204590431,99.16837410242374,99.35724998938488,99.16675159564385,99.35171970954308
Adaptive,SentenceMutator,1,15,78,74.22561408617558,71.6267367137553,76.82449145859586,71.43824795881908,76.52393525991684
Adaptive,SentenceMutator,2,30,78,66.4582753028625,64.08268745630812,68.83386314941689,63.9005123040615,68.55354813429025
Adaptive,SentenceMutator,3,45,78,63.34401071071625,61.041219974589126,65.64680144684337,60.92159343071473,65.42154397719946
Adaptive,SentenceMutator,4,60,78,61.36594131971017,59.05138639472922,63.68049624469111,58.928197163801926,63.49112567229149
Adaptive,SentenceMutator,5,75,78,0.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,6,90,78,0.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,7,105,78,0.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,8,120,78,0.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,9,135,78,0.7222823607615936,-0.7159655648164274,2.1605302863396147,0.0,2.1668470822847805
Adaptive,SentenceMutator,10,150,78,59.385482623026924,57.74540165182476,61.02556359422909,57.84224103658627,61.01180616861735
Adaptive,SpanMutator,0,0,90,99.26963190237682,99.18513301710753,99.3541307876461,99.18704390525818,99.35072898864746
Adaptive,SpanMutator,1,25,90,86.62189874384138,85.98466801217783,87.25912947550493,85.99499629603491,87.25638217396207
Adaptive,SpanMutator,2,50,90,81.76962521341112,80.9784362597626,82.56081416705963,80.97412493493822,82.55713721116383
Adaptive,SpanMutator,3,75,90,78.03555342886183,77.18713835092954,78.88396850679412,77.195618947347,78.88135691483815
Adaptive,SpanMutator,4,100,90,75.39163735177782,74.48108323368096,76.30219146987467,74.50524568557739,76.30191836092207
Adaptive,SpanMutator,5,125,90,0.0,0.0,0.0,0.0,0.0
Adaptive,SpanMutator,6,150,90,0.0,0.0,0.0,0.0,0.0
Adaptive,SpanMutator,7,175,90,0.8537693156136407,-0.8426521288027186,2.55019076003,0.0,2.561307946840922
Adaptive,SpanMutator,8,200,90,0.0,0.0,0.0,0.0,0.0
Adaptive,SpanMutator,9,225,90,0.81967208120558,-0.8089988847298901,2.44834304714105,0.0,2.4590162436167398
Adaptive,SpanMutator,10,250,90,65.63436435328589,64.70846137257668,66.5602673339951,64.72338848643832,66.55577460924785
Adaptive,WordMutator,0,0,90,99.26963190237682,99.18513301710753,99.3541307876461,99.18765313095517,99.35042891237471
Adaptive,WordMutator,1,100,90,84.3810173537996,81.04868411487811,87.7133505927211,80.68915155198839,87.27876590357886
Adaptive,WordMutator,2,200,90,79.92259634865655,76.75877606822223,83.08641662909088,76.47153562969632,82.66560779677496
Adaptive,WordMutator,3,300,90,76.60621749030219,73.56071604690067,79.6517189337037,73.29146398438348,79.23113120926752
Adaptive,WordMutator,4,400,90,74.31323256757524,71.34737260570533,77.27909252944515,71.09250962734222,76.85175862577226
Adaptive,WordMutator,5,500,90,72.68988278177049,69.77325252807891,75.60651303546207,69.53827301661174,75.18789278136359
Adaptive,WordMutator,6,600,90,0.0,0.0,0.0,0.0,0.0
Adaptive,WordMutator,7,700,90,0.0,0.0,0.0,0.0,0.0
Adaptive,WordMutator,8,800,90,0.0,0.0,0.0,0.0,0.0
Adaptive,WordMutator,9,900,90,0.7522890302870009,-0.7424932487655054,2.247071309339507,0.0,2.2568670908610025
Adaptive,WordMutator,10,1000,90,69.23057152165308,67.54882275688318,70.91232028642297,67.36033651563856,70.51364541053772
KGW,Document2StepMutator,0,0,89,5.316568987555062,5.055932941157692,5.577205033952432,5.076032041871321,5.590389069850708
KGW,Document2StepMutator,1,10,89,4.42883738667084,4.1570117943338865,4.700662979007793,4.164029373624619,4.699548320196667
KGW,Document2StepMutator,2,20,89,4.076892115238132,3.698230298554912,4.455553931921352,3.727267753223793,4.474667492455679
KGW,Document2StepMutator,3,30,89,3.688726250917895,3.378515493180188,3.9989370086556018,3.386935844655963,3.998797929376818
KGW,Document2StepMutator,4,40,89,3.4745584606512234,3.0595195638384243,3.8895973574640226,3.087423638381038,3.9044649353760406
KGW,Document2StepMutator,5,50,89,3.2976630278612205,2.8897852867742255,3.7055407689482154,2.91596270470862,3.718988363078101
KGW,Document2StepMutator,6,60,89,3.3114992191427297,2.906727468750965,3.716270969534494,2.931682144202274,3.736074432032368
KGW,Document2StepMutator,7,70,89,3.2033314458233777,2.816206217142257,3.5904566745044986,2.845836559548464,3.6024141652098565
KGW,Document2StepMutator,8,80,89,3.0898438734652593,2.6912189397814767,3.488468807149042,2.7218293832251526,3.5035934385060425
KGW,Document2StepMutator,9,90,89,3.0173204759073626,2.5733769694807744,3.461263982333951,2.5972678368443396,3.478440319412857
KGW,Document2StepMutator,10,100,89,2.8952702103235954,2.492550669214449,3.297989751432742,2.5212613191155366,3.3136051258879258
KGW,SentenceMutator,0,0,90,5.316205227977918,5.0585207477175915,5.573889708238245,5.07237751134477,5.572273892044604
KGW,SentenceMutator,1,15,90,3.0046862999543866,2.72868560667849,3.280686993230283,2.7472847627466783,3.285078611608161
KGW,SentenceMutator,2,30,90,1.9269572254043246,1.6536821048926669,2.2002323459159823,1.6776529672078901,2.208192559105551
KGW,SentenceMutator,3,45,90,1.5159860797394609,1.269565752855595,1.7624064066233267,1.28172166818666,1.7663549817213249
KGW,SentenceMutator,4,60,90,1.0829830180797015,0.8539084725185866,1.3120575636408165,0.8663551616961962,1.3117906109846662
