Watermark,Mutator,% Diverging,% Converging,% Stable,Total Prompts
Adaptive,Document1StepMutator,3.3%,46.7%,50.0%,30
Adaptive,Document2StepMutator,50.0%,10.0%,40.0%,30
Adaptive,SentenceMutator,11.1%,63.0%,25.9%,27
Adaptive,SpanMutator,3.3%,46.7%,50.0%,30
Adaptive,WordMutator,13.3%,70.0%,16.7%,30
KGW,Document1StepMutator,26.7%,10.0%,63.3%,30
KGW,Document2StepMutator,50.0%,12.5%,37.5%,8
KGW,DocumentMutator,40.0%,6.7%,53.3%,15
KGW,SentenceMutator,20.0%,60.0%,20.0%,30
KGW,SpanMutator,13.3%,70.0%,16.7%,30
KGW,WordMutator,6.7%,83.3%,10.0%,30
SIR,Document1StepMutator,20.0%,6.7%,73.3%,30
SIR,Document2StepMutator,60.0%,6.7%,33.3%,30
SIR,DocumentMutator,56.7%,0.0%,43.3%,30
SIR,EntropyWordMutator,83.3%,6.7%,10.0%,30
SIR,SentenceMutator,90.0%,3.3%,6.7%,30
SIR,SpanMutator,96.7%,0.0%,3.3%,30
SIR,WordMutator,100.0%,0.0%,0.0%,30
