watermark_type,mutator,score_type,score_mean,score_std,num_std,threshold,TPR,FPR,TNR,FNR,P,R,F1,ACC,ASR,avg_final_internLM_quality,avg_final_watermark_score,avg_final_perplexity,avg_final_grammar_errors,avg_final_unique_bigrams
Adaptive,DocumentMutator,min,49.42577,3.365801,2,56.157372,0.3442622950819672,0.0,0.0,0.6557377049180327,1.0,0.3442622950819672,0.5121951219512195,0.3442622950819672,0.4878048780487805,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,DocumentMutator,fin,49.42577,3.365801,2,56.157372,0.3770491803278688,0.0,0.0,0.6229508196721312,1.0,0.3770491803278688,0.5476190476190477,0.3770491803278688,0.45238095238095233,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,Document1StepMutator,min,49.42577,3.365801,2,56.157372,0.9770114942528736,0.0,0.0,0.022988505747126436,1.0,0.9770114942528736,0.9883720930232558,0.9770114942528736,0.011627906976744207,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document1StepMutator,fin,49.42577,3.365801,2,56.157372,0.9770114942528736,0.0,0.0,0.022988505747126436,1.0,0.9770114942528736,0.9883720930232558,0.9770114942528736,0.011627906976744207,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document2StepMutator,min,49.42577,3.365801,2,56.157372,0.898876404494382,0.0,0.0,0.10112359550561797,1.0,0.898876404494382,0.9467455621301775,0.898876404494382,0.053254437869822535,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,Document2StepMutator,fin,49.42577,3.365801,2,56.157372,0.9101123595505618,0.0,0.0,0.0898876404494382,1.0,0.9101123595505618,0.9529411764705882,0.9101123595505618,0.04705882352941182,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,SentenceMutator,min,49.42577,3.365801,2,56.157372,0.4777777777777778,0.0,0.0,0.5222222222222223,1.0,0.4777777777777778,0.6466165413533834,0.4777777777777778,0.3533834586466166,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SentenceMutator,fin,49.42577,3.365801,2,56.157372,0.6777777777777778,0.0,0.0,0.32222222222222224,1.0,0.6777777777777778,0.8079470198675497,0.6777777777777778,0.1920529801324503,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SpanMutator,min,49.42577,3.365801,2,56.157372,0.9696969696969697,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.01538461538461533,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,SpanMutator,fin,49.42577,3.365801,2,56.157372,0.9696969696969697,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.01538461538461533,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,WordMutator,min,49.42577,3.365801,2,56.157372,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
Adaptive,WordMutator,fin,49.42577,3.365801,2,56.157372,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
Adaptive,EntropyWordMutator,min,49.42577,3.365801,2,56.157372,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
Adaptive,EntropyWordMutator,fin,49.42577,3.365801,2,56.157372,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
KGW,DocumentMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.23076923076923078,0.0,0.0,0.7692307692307693,1.0,0.23076923076923078,0.375,0.23076923076923078,0.625,0.09632782141367595,0.9264934989357954,12.646634615384615,10.64102564102564,454.20512820512823
KGW,DocumentMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.38461538461538464,0.0,0.0,0.6153846153846154,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.4444444444444444,0.09632782141367595,0.9264934989357954,12.646634615384615,10.64102564102564,454.20512820512823
KGW,Document1StepMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.7752808988764045,0.0,0.0,0.2247191011235955,1.0,0.7752808988764045,0.8734177215189873,0.7752808988764045,0.12658227848101267,0.2289000093267205,2.538979162807868,11.74122191011236,0.25842696629213485,491.44943820224717
KGW,Document1StepMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.8426966292134831,0.0,0.0,0.15730337078651685,1.0,0.8426966292134831,0.9146341463414634,0.8426966292134831,0.08536585365853655,0.2289000093267205,2.538979162807868,11.74122191011236,0.25842696629213485,491.44943820224717
KGW,Document2StepMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.8333333333333334,0.0,0.0,0.16666666666666666,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.09090909090909094,0.25912802657861816,3.065007627873968,11.701041666666667,4.288888888888889,530.7888888888889
KGW,Document2StepMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.8555555555555555,0.0,0.0,0.14444444444444443,1.0,0.8555555555555555,0.9221556886227545,0.8555555555555555,0.07784431137724546,0.25912802657861816,3.065007627873968,11.701041666666667,4.288888888888889,530.7888888888889
KGW,SentenceMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.05555555555555555,0.0,0.0,0.9444444444444444,1.0,0.05555555555555555,0.10526315789473684,0.05555555555555555,0.8947368421052632,0.3026215447319878,0.5233686615948416,17.969444444444445,2.933333333333333,597.4444444444445
KGW,SentenceMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.2777777777777778,0.0,0.0,0.7222222222222222,1.0,0.2777777777777778,0.43478260869565216,0.2777777777777778,0.5652173913043479,0.3026215447319878,0.5233686615948416,17.969444444444445,2.933333333333333,597.4444444444445
KGW,SpanMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.4444444444444444,0.0,0.0,0.5555555555555556,1.0,0.4444444444444444,0.6153846153846154,0.4444444444444444,0.3846153846153846,0.027497439914279515,1.5726673272904785,15.278503913349576,4.355555555555555,561.0444444444445
KGW,SpanMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.5111111111111111,0.0,0.0,0.4888888888888889,1.0,0.5111111111111111,0.6764705882352942,0.5111111111111111,0.32352941176470584,0.027497439914279515,1.5726673272904785,15.278503913349576,4.355555555555555,561.0444444444445
KGW,WordMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.35555555555555557,0.0,0.0,0.6444444444444445,1.0,0.35555555555555557,0.5245901639344263,0.35555555555555557,0.47540983606557374,0.0007498052385118272,1.7424244592678197,29.956219715542264,6.788888888888889,588.3333333333334
KGW,WordMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.8,0.6666666666666666,0.19999999999999996,0.0007498052385118272,1.7424244592678197,29.956219715542264,6.788888888888889,588.3333333333334
KGW,EntropyWordMutator,min,-0.82778,1.047094772,2,1.2664095439999998,0.9333333333333333,0.0,0.0,0.06666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.03448275862068961,-0.030501090155707466,3.3035346371774,20.200389840867786,1.4444444444444444,554.3777777777777
KGW,EntropyWordMutator,fin,-0.82778,1.047094772,2,1.2664095439999998,0.9888888888888889,0.0,0.0,0.011111111111111112,1.0,0.9888888888888889,0.994413407821229,0.9888888888888889,0.005586592178770999,-0.030501090155707466,3.3035346371774,20.200389840867786,1.4444444444444444,554.3777777777777
SIR,DocumentMutator,min,0.077541,0.068233825,2,0.21400865,0.23809523809523808,0.0,0.0,0.7619047619047619,1.0,0.23809523809523808,0.38461538461538464,0.23809523809523808,0.6153846153846154,-0.2684978806828878,0.17675331511582615,10.484468005952381,7.7023809523809526,435.39285714285717
SIR,DocumentMutator,fin,0.077541,0.068233825,2,0.21400865,0.36904761904761907,0.0,0.0,0.6309523809523809,1.0,0.36904761904761907,0.5391304347826087,0.36904761904761907,0.4608695652173913,-0.2684978806828878,0.17675331511582615,10.484468005952381,7.7023809523809526,435.39285714285717
SIR,Document1StepMutator,min,0.077541,0.068233825,2,0.21400865,0.7538461538461538,0.0,0.0,0.24615384615384617,1.0,0.7538461538461538,0.8596491228070176,0.7538461538461538,0.14035087719298245,0.07327713285173688,0.26818629029230767,9.467227372256191,0.3076923076923077,482.5076923076923
SIR,Document1StepMutator,fin,0.077541,0.068233825,2,0.21400865,0.7538461538461538,0.0,0.0,0.24615384615384617,1.0,0.7538461538461538,0.8596491228070176,0.7538461538461538,0.14035087719298245,0.07327713285173688,0.26818629029230767,9.467227372256191,0.3076923076923077,482.5076923076923
SIR,Document2StepMutator,min,0.077541,0.068233825,2,0.21400865,0.189873417721519,0.0,0.0,0.810126582278481,1.0,0.189873417721519,0.3191489361702128,0.189873417721519,0.6808510638297872,-0.03270985921223958,0.17853733451872583,11.971979166666667,4.413333333333333,501.88607594936707
SIR,Document2StepMutator,fin,0.077541,0.068233825,2,0.21400865,0.34177215189873417,0.0,0.0,0.6582278481012658,1.0,0.34177215189873417,0.5094339622641509,0.34177215189873417,0.49056603773584906,-0.03270985921223958,0.17853733451872583,11.971979166666667,4.413333333333333,501.88607594936707
SIR,SentenceMutator,min,0.077541,0.068233825,2,0.21400865,0.06578947368421052,0.0,0.0,0.9342105263157895,1.0,0.06578947368421052,0.12345679012345678,0.06578947368421052,0.8765432098765432,0.018792364332411025,0.14445680224718419,16.931332236842106,4.684210526315789,658.7105263157895
SIR,SentenceMutator,fin,0.077541,0.068233825,2,0.21400865,0.14473684210526316,0.0,0.0,0.8552631578947368,1.0,0.14473684210526316,0.25287356321839083,0.14473684210526316,0.7471264367816092,0.018792364332411025,0.14445680224718419,16.931332236842106,4.684210526315789,658.7105263157895
SIR,SpanMutator,min,0.077541,0.068233825,2,0.21400865,0.24444444444444444,0.0,0.0,0.7555555555555555,1.0,0.24444444444444444,0.39285714285714285,0.24444444444444444,0.6071428571428572,-0.28613723648919,0.20245396911774524,14.781857638888889,7.188888888888889,536.7888888888889
SIR,SpanMutator,fin,0.077541,0.068233825,2,0.21400865,0.45555555555555555,0.0,0.0,0.5444444444444444,1.0,0.45555555555555555,0.6259541984732825,0.45555555555555555,0.3740458015267175,-0.28613723648919,0.20245396911774524,14.781857638888889,7.188888888888889,536.7888888888889
SIR,WordMutator,min,0.077541,0.068233825,2,0.21400865,0.12222222222222222,0.0,0.0,0.8777777777777778,1.0,0.12222222222222222,0.21782178217821782,0.12222222222222222,0.7821782178217822,-0.30049060185750326,0.17216971235582074,30.304513888888888,11.1,572.5666666666667
SIR,WordMutator,fin,0.077541,0.068233825,2,0.21400865,0.26666666666666666,0.0,0.0,0.7333333333333333,1.0,0.26666666666666666,0.42105263157894735,0.26666666666666666,0.5789473684210527,-0.30049060185750326,0.17216971235582074,30.304513888888888,11.1,572.5666666666667
SIR,EntropyWordMutator,min,0.077541,0.068233825,2,0.21400865,0.4318181818181818,0.0,0.0,0.5681818181818182,1.0,0.4318181818181818,0.6031746031746031,0.4318181818181818,0.39682539682539686,-0.30552495609630237,0.22200739412093595,20.146306818181817,10.136363636363637,535.1363636363636
SIR,EntropyWordMutator,fin,0.077541,0.068233825,2,0.21400865,0.5681818181818182,0.0,0.0,0.4318181818181818,1.0,0.5681818181818182,0.7246376811594203,0.5681818181818182,0.2753623188405797,-0.30552495609630237,0.22200739412093595,20.146306818181817,10.136363636363637,535.1363636363636
