watermark_type,mutator,score_type,score_mean,score_std,threshold,TPR,FPR,TNR,FNR,P,R,F1,ACC
Adaptive,SentenceMutator,min,49.42577,3.365801,49.42577,0.7777777777777778,0.0,0.0,0.2222222222222222,1.0,0.7777777777777778,0.875,0.7777777777777778
Adaptive,SentenceMutator,min,49.42577,3.365801,52.791571,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333
Adaptive,SentenceMutator,min,49.42577,3.365801,56.157372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,min,49.42577,3.365801,59.523173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adaptive,SentenceMutator,fin,49.42577,3.365801,49.42577,0.8888888888888888,0.0,0.0,0.1111111111111111,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
Adaptive,SentenceMutator,fin,49.42577,3.365801,52.791571,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.8,0.6666666666666666
Adaptive,SentenceMutator,fin,49.42577,3.365801,56.157372,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333
Adaptive,SentenceMutator,fin,49.42577,3.365801,59.523173,0.1111111111111111,0.0,0.0,0.8888888888888888,1.0,0.1111111111111111,0.2,0.1111111111111111
KGW,SentenceMutator,min,-0.82778,1.047094772,-0.82778,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333
KGW,SentenceMutator,min,-0.82778,1.047094772,0.21931477199999994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KGW,SentenceMutator,min,-0.82778,1.047094772,1.2664095439999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KGW,SentenceMutator,min,-0.82778,1.047094772,2.3135043159999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KGW,SentenceMutator,fin,-0.82778,1.047094772,-0.82778,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
KGW,SentenceMutator,fin,-0.82778,1.047094772,0.21931477199999994,0.5555555555555556,0.0,0.0,0.4444444444444444,1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
KGW,SentenceMutator,fin,-0.82778,1.047094772,1.2664095439999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KGW,SentenceMutator,fin,-0.82778,1.047094772,2.3135043159999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIR,SentenceMutator,min,0.077541,0.068233825,0.077541,0.4444444444444444,0.0,0.0,0.5555555555555556,1.0,0.4444444444444444,0.6153846153846154,0.4444444444444444
SIR,SentenceMutator,min,0.077541,0.068233825,0.145774825,0.2222222222222222,0.0,0.0,0.7777777777777778,1.0,0.2222222222222222,0.36363636363636365,0.2222222222222222
SIR,SentenceMutator,min,0.077541,0.068233825,0.21400865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIR,SentenceMutator,min,0.077541,0.068233825,0.282242475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIR,SentenceMutator,fin,0.077541,0.068233825,0.077541,0.5555555555555556,0.0,0.0,0.4444444444444444,1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
SIR,SentenceMutator,fin,0.077541,0.068233825,0.145774825,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333
SIR,SentenceMutator,fin,0.077541,0.068233825,0.21400865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIR,SentenceMutator,fin,0.077541,0.068233825,0.282242475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
