,mutator,watermark,total_cases,quality_preserved,quality_not_preserved,quality_preserved_percentage,quality_not_preserved_percentage
0,Document1StepMutator,Adaptive,2,2,0,100.0,0.0
1,Document1StepMutator,KGW,14,7,7,50.0,50.0
2,Document1StepMutator,SIR,12,11,1,91.66666666666666,8.333333333333332
3,Document2StepMutator,Adaptive,8,5,3,62.5,37.5
4,Document2StepMutator,KGW,10,4,6,40.0,60.0
5,Document2StepMutator,SIR,20,12,8,60.0,40.0
6,DocumentMutator,Adaptive,19,8,11,42.10526315789473,57.89473684210527
7,DocumentMutator,KGW,20,8,12,40.0,60.0
8,DocumentMutator,SIR,20,6,14,30.0,70.0
9,EntropyWordMutator,KGW,1,0,1,0.0,100.0
10,SentenceMutator,Adaptive,20,8,12,40.0,60.0
11,SentenceMutator,KGW,20,7,13,35.0,65.0
12,SentenceMutator,SIR,20,13,7,65.0,35.0
13,SpanMutator,Adaptive,2,2,0,100.0,0.0
14,SpanMutator,KGW,20,14,6,70.0,30.0
15,SpanMutator,SIR,20,5,15,25.0,75.0
16,WordMutator,KGW,20,4,16,20.0,80.0
17,WordMutator,SIR,20,1,19,5.0,95.0
